 	cell_id	cell_coord_x	cell_coord_y	area	mean_ch2	std_ch2	min_ch2	max_ch2	bg_coord_ch2_x	bg_coord_ch2_y	bg_area_ch2	bg_mean_ch2	bg_std_ch2	bg_min_ch2	bg_max_ch2	area_h3	mean_ch3	std_ch3	min_ch3	max_ch3	bg_coord_ch3_x	bg_coord_ch3_y	bg_area_ch3	bg_mean_ch3	bg_std_ch3	bg_min_ch3	bg_max_ch3	Error	Comment
76	1772-066-262_G04	251	196	1121.552	1335.126	817.304	714	3882	201	246	1121.552	927.200	58.414	680	1062	1121.552	9.573	4.047	0	21	201	246	1121.552	9.661	4.346	0	24	0-No Error	No comment
77	1772-066-262_G05	219	192	1121.552	1002.166	227.782	672	2028	169	242	1121.552	913.986	21.265	845	978	1121.552	10.024	4.122	0	23	169	242	1121.552	10.158	3.983	0	23	0-No Error	No comment
78	1772-066-262_G06	248	187	1121.552	1455.450	996.355	657	3882	198	237	1121.552	911.746	57.045	654	1028	1121.552	9.423	4.139	0	22	198	237	1121.552	9.628	4.177	0	23	0-No Error	No comment
79	1772-066-262_G07	226	189	1121.552	2086.827	1269.203	729	3882	176	239	1121.552	897.784	20.483	836	970	1121.552	10.130	4.189	0	22	176	239	1121.552	9.782	4.057	0	22	0-No Error	No comment
80	1772-066-262_G08	257	183	1121.552	2479.144	1288.862	826	3883	207	233	1121.552	901.792	56.869	671	1024	1121.552	11.257	4.863	0	31	207	233	1121.552	9.663	4.204	0	25	0-No Error	No comment
81	1772-066-262_G09	227	196	1121.552	2202.123	1264.342	817	3882	177	246	1121.552	890.880	20.646	828	963	1121.552	9.439	4.303	0	22	177	246	1121.552	9.606	4.161	0	22	0-No Error	No comment
82	1772-066-262_G10	220	189	1121.552	950.225	207.636	639	1790	170	239	1121.552	899.520	20.372	839	961	1121.552	9.704	4.361	0	24	170	239	1121.552	10.184	4.079	0	23	0-No Error	No comment
83	1772-066-262_G11	250	195	1121.552	1000.958	213.363	659	1751	200	245	1121.552	892.891	54.205	664	1036	1121.552	9.124	4.026	0	24	200	245	1121.552	10.297	4.287	0	24	0-No Error	No comment
84	1772-066-262_G12	221	190	1121.552	1344.641	936.223	646	3882	171	240	1121.552	898.365	20.585	836	964	1121.552	9.501	4.189	0	23	171	240	1121.552	9.355	4.172	0	23	0-No Error	No comment
85	1772-066-262_H01	258	191	1121.552	1709.013	1198.284	689	3883	208	241	1121.552	885.852	54.402	666	994	1121.552	9.345	4.383	0	26	208	241	1121.552	10.043	4.050	0	23	0-No Error	No comment
86	1772-066-262_H02	227	192	1121.552	2143.601	1227.956	762	3882	177	242	1121.552	908.194	20.698	848	982	1121.552	148.909	528.835	1	3883	177	242	1121.552	9.284	4.152	0	25	4-MultipleCells	3
87	1772-066-262_H03	259	198	1121.552	2744.352	1229.654	889	3883	209	248	1121.552	913.332	54.525	704	1031	1121.552	10.321	4.728	0	29	209	248	1121.552	9.345	4.382	0	24	0-No Error	No comment
88	1772-066-262_H04	257	194	1121.552	1020.295	310.569	668	2381	207	244	1121.552	911.630	58.761	672	1038	1121.552	9.286	4.000	0	21	207	244	1121.552	9.912	3.960	0	25	0-No Error	No comment
89	1772-066-262_H05	222	193	1121.552	1580.574	1122.187	657	3882	172	243	1121.552	891.867	20.319	838	955	1121.552	9.820	4.251	0	26	172	243	1121.552	9.610	4.147	0	21	0-No Error	No comment
90	1772-066-262_H06	254	195	1121.552	1416.765	951.823	687	3882	204	245	1121.552	893.689	54.367	665	1033	1121.552	9.616	4.203	0	23	204	245	1121.552	9.570	3.890	0	23	0-No Error	No comment
91	1772-066-262_H07	229	194	1121.552	2507.478	1238.257	914	3882	179	244	1121.552	970.187	20.363	907	1034	1121.552	31.137	35.920	0	162	179	244	1121.552	10.454	4.121	0	25	4-MultipleCells	2
92	1772-066-262_H08	259	193	1121.552	1887.459	1159.922	809	3883	209	243	1121.552	957.934	58.085	707	1084	1121.552	168.584	428.137	0	2469	209	243	1121.552	10.173	3.931	0	22	0-No Error	No comment
93	1772-066-262_H09	227	190	1121.552	2280.113	1219.787	865	3882	177	240	1121.552	939.271	20.394	876	1002	1121.552	137.236	415.132	1	2552	177	240	1121.552	10.066	4.002	0	24	0-No Error	No comment
94	1772-066-262_H10	231	193	1121.552	1254.476	701.338	710	3882	181	243	1121.552	954.433	21.397	884	1018	1121.552	10.138	4.256	0	24	181	243	1121.552	10.088	3.975	0	22	0-No Error	No comment
95	1772-066-262_H11	256	198	1121.552	1930.286	1213.522	745	3882	206	248	1121.552	950.479	59.159	710	1089	1121.552	10.155	4.258	0	27	206	248	1121.552	9.686	4.254	0	22	0-No Error	No comment
96	1772-066-262_H12	225	195	1121.552	1018.302	190.118	693	1807	175	245	1121.552	966.397	21.700	878	1028	1121.552	10.528	4.248	0	23	175	245	1121.552	10.316	4.025	0	23	0-No Error	No comment
